iter	Passed	Remaining
481	634	681
482	635	680
483	636	678
484	637	677
485	639	675
486	640	674
487	641	673
488	642	671
489	643	669
490	645	668
491	646	667
492	647	666
493	653	669
494	655	668
495	656	667
496	657	665
497	658	664
498	659	662
499	661	661
500	662	659
501	663	658
502	665	657
503	666	655
504	667	654
505	669	653
506	670	651
507	671	650
508	672	648
509	673	647
510	675	645
511	676	644
512	677	643
513	678	641
514	679	640
515	680	638
516	682	637
517	683	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	628
523	689	626
524	691	625
525	692	623
526	693	622
527	694	621
528	695	619
529	697	618
530	698	616
531	699	615
532	700	613
533	701	612
534	702	610
535	703	609
536	705	607
537	706	606
538	707	604
539	708	603
540	709	602
541	710	600
542	712	599
543	713	597
544	714	596
545	715	594
546	716	593
547	717	591
548	718	590
549	720	589
550	721	588
551	722	586
552	724	585
553	725	584
554	726	582
555	728	581
556	729	579
557	730	578
558	731	577
559	732	575
560	733	574
561	735	572
562	736	571
563	737	570
564	739	568
565	740	567
566	741	566
567	742	565
568	744	563
569	745	562
570	746	560
571	747	559
572	748	558
573	750	556
574	751	555
575	752	554
576	753	552
577	755	551
578	756	549
579	757	548
580	758	547
581	760	545
582	761	544
583	762	543
584	763	541
585	764	540
586	765	538
587	766	537
588	768	536
589	769	534
590	770	533
591	771	531
592	772	530
593	773	528
594	775	527
595	776	526
596	777	524
597	778	523
598	780	522
599	781	520
600	782	519
601	783	518
602	784	516
603	785	515
604	787	513
605	788	512
606	789	510
607	790	509
608	791	508
609	792	506
610	793	505
611	795	504
612	796	502
613	797	501
614	798	500
615	799	498
616	801	497
617	802	495
618	803	494
619	804	493
620	806	491
621	807	490
622	808	489
623	809	487
624	810	486
625	812	485
626	813	483
627	814	482
628	815	481
629	817	479
630	818	478
631	819	477
632	820	475
633	821	474
634	823	473
635	824	471
636	825	470
637	827	469
638	828	468
639	829	466
640	831	465
641	832	464
642	833	462
643	834	461
644	835	459
645	837	458
646	838	457
647	839	455
648	840	454
649	842	453
650	843	452
651	844	450
652	846	449
653	847	448
654	848	446
655	849	445
656	850	444
657	851	442
658	853	441
659	854	440
660	855	438
661	856	437
662	858	436
663	859	434
664	860	433
665	861	432
666	862	430
667	864	429
668	865	428
669	866	426
670	867	425
671	869	424
672	870	422
673	872	421
674	873	420
675	874	419
676	875	417
677	876	416
678	878	415
679	879	413
680	880	412
681	882	411
682	883	410
683	884	408
684	885	407
685	887	406
686	888	404
687	889	403
688	890	402
689	892	400
690	893	399
691	894	398
692	895	396
693	897	395
694	898	394
695	899	392
696	900	391
697	902	390
698	903	388
699	904	387
700	905	386
701	907	385
702	908	383
703	909	382
704	910	381
705	912	379
706	913	378
707	914	377
708	915	375
709	916	374
710	917	373
711	919	371
712	920	370
713	921	369
714	922	367
715	924	366
716	925	365
717	926	363
718	927	362
719	929	361
720	930	359
721	931	358
722	932	357
723	934	356
724	935	354
725	936	353
726	937	352
727	938	350
728	940	349
729	941	348
730	942	346
731	943	345
732	945	344
733	946	342
734	947	341
735	948	340
736	949	338
737	951	337
738	952	336
739	953	335
740	954	333
741	955	332
742	957	331
743	958	329
744	959	328
745	960	327
746	961	325
747	963	324
748	964	323
749	965	321
750	967	320
751	968	319
752	969	318
753	970	316
754	972	315
755	973	314
756	975	312
757	976	311
758	977	310
759	979	309
760	980	307
761	982	306
762	983	305
763	985	304
764	986	303
765	988	301
766	989	300
767	990	299
768	991	297
769	993	296
770	994	295
771	996	294
772	997	293
773	999	291
774	1000	290
775	1002	289
776	1003	287
777	1004	286
778	1006	285
779	1008	284
780	1009	283
781	1010	281
782	1012	280
783	1013	279
784	1015	278
785	1017	276
786	1018	275
787	1019	274
788	1021	273
789	1022	271
790	1023	270
791	1024	269
792	1026	267
793	1027	266
794	1029	265
795	1031	264
796	1032	262
797	1035	262
798	1036	260
799	1038	259
800	1039	258
801	1041	257
802	1042	255
803	1044	254
804	1045	253
805	1047	252
806	1048	250
807	1050	249
808	1051	248
809	1053	247
810	1054	245
811	1058	245
812	1060	243
813	1062	242
814	1063	241
815	1065	240
816	1067	239
817	1068	237
818	1069	236
819	1070	235
820	1072	233
821	1074	232
822	1076	231
823	1078	230
824	1079	228
825	1080	227
826	1082	226
827	1084	225
828	1087	224
829	1090	223
830	1093	222
831	1095	221
832	1097	219
833	1098	218
834	1101	217
835	1102	216
836	1103	214
837	1105	213
838	1107	212
839	1109	211
840	1110	209
841	1111	208
842	1113	207
843	1115	206
844	1116	204
845	1118	203
846	1119	202
847	1120	200
848	1122	199
849	1124	198
850	1125	197
851	1127	195
852	1128	194
853	1130	193
854	1132	191
855	1133	190
856	1135	189
857	1137	188
858	1138	186
859	1140	185
860	1141	184
861	1143	183
862	1144	181
863	1146	180
864	1147	179
865	1149	177
866	1151	176
867	1152	175
868	1154	174
869	1156	172
870	1157	171
871	1159	170
872	1161	168
873	1162	167
874	1164	166
875	1166	165
876	1167	163
877	1168	162
878	1170	161
879	1171	159
880	1172	158
881	1174	157
882	1175	155
883	1178	154
884	1180	153
885	1183	152
886	1184	150
887	1186	149
888	1188	148
889	1190	147
890	1193	146
891	1195	144
892	1197	143
893	1198	142
894	1200	140
895	1202	139
896	1203	138
897	1204	136
898	1206	135
899	1207	134
900	1209	132
901	1210	131
902	1212	130
903	1214	128
904	1217	127
905	1218	126
906	1220	125
907	1222	123
908	1223	122
909	1225	121
910	1228	120
911	1230	118
912	1231	117
913	1233	116
914	1234	114
915	1235	113
916	1237	112
917	1239	110
918	1244	109
919	1246	108
920	1247	107
921	1249	105
922	1251	104
923	1253	103
924	1255	101
925	1256	100
926	1259	99
927	1261	97
928	1263	96
929	1265	95
930	1266	93
931	1267	92
932	1269	91
933	1273	89
934	1274	88
935	1276	87
936	1277	85
937	1279	84
938	1280	83
939	1282	81
940	1284	80
941	1285	79
942	1287	77
943	1288	76
944	1290	75
945	1291	73
946	1293	72
947	1295	71
948	1297	69
949	1298	68
950	1300	66
951	1302	65
952	1304	64
953	1306	63
954	1309	61
955	1311	60
956	1313	59
957	1316	57
958	1317	56
959	1318	54
960	1320	53
961	1321	52
962	1323	50
963	1324	49
964	1326	48
965	1327	46
966	1329	45
967	1332	44
968	1333	42
969	1336	41
970	1338	39
971	1339	38
972	1341	37
973	1344	35
974	1347	34
975	1349	33
976	1351	31
977	1353	30
978	1354	29
979	1356	27
980	1357	26
981	1359	24
982	1361	23
983	1363	22
984	1364	20
985	1366	19
986	1367	18
987	1369	16
988	1371	15
989	1373	13
990	1374	12
991	1376	11
992	1377	9
993	1378	8
994	1380	6
995	1381	5
996	1383	4
997	1385	2
998	1387	1
999	1389	0
